,Object,x_perturb,y_perturb,successes,trials
293,ChoppedTomatoes_800_tex.urdf,0.01,0.01,44.0,50.0
294,ChoppedTomatoes_800_tex.urdf,0.02,0.01,47.0,50.0
295,ChoppedTomatoes_800_tex.urdf,-0.02,0.02,45.0,50.0
296,ChoppedTomatoes_800_tex.urdf,-0.01,0.02,46.0,50.0
297,ChoppedTomatoes_800_tex.urdf,0.0,0.02,45.0,50.0
298,ChoppedTomatoes_800_tex.urdf,0.01,0.02,44.0,50.0
299,ChoppedTomatoes_800_tex.urdf,0.02,0.02,46.0,50.0
300,Clown_800_tex.urdf,-0.02,-0.02,40.0,50.0
301,Clown_800_tex.urdf,-0.01,-0.02,36.0,50.0
302,Clown_800_tex.urdf,0.0,-0.02,36.0,50.0
303,Clown_800_tex.urdf,0.01,-0.02,41.0,50.0
304,Clown_800_tex.urdf,0.02,-0.02,34.0,50.0
305,Clown_800_tex.urdf,-0.02,-0.01,39.0,50.0
306,Clown_800_tex.urdf,-0.01,-0.01,39.0,50.0
307,Clown_800_tex.urdf,0.0,-0.01,39.0,50.0
308,Clown_800_tex.urdf,0.01,-0.01,37.0,50.0
309,Clown_800_tex.urdf,0.02,-0.01,36.0,50.0
310,Clown_800_tex.urdf,-0.02,0.0,43.0,50.0
311,Clown_800_tex.urdf,-0.01,0.0,44.0,50.0
312,Clown_800_tex.urdf,0.0,0.0,39.0,50.0
313,Clown_800_tex.urdf,0.01,0.0,38.0,50.0
314,Clown_800_tex.urdf,0.02,0.0,38.0,50.0
315,Clown_800_tex.urdf,-0.02,0.01,37.0,50.0
316,Clown_800_tex.urdf,-0.01,0.01,37.0,50.0
317,Clown_800_tex.urdf,0.0,0.01,42.0,50.0
318,Clown_800_tex.urdf,0.01,0.01,36.0,50.0
319,Clown_800_tex.urdf,0.02,0.01,31.0,50.0
320,Clown_800_tex.urdf,-0.02,0.02,38.0,50.0
321,Clown_800_tex.urdf,-0.01,0.02,44.0,50.0
322,Clown_800_tex.urdf,0.0,0.02,38.0,50.0
323,Clown_800_tex.urdf,0.01,0.02,40.0,50.0
324,Clown_800_tex.urdf,0.02,0.02,36.0,50.0
325,CoffeeBox_800_tex.urdf,-0.02,-0.02,37.0,50.0
326,CoffeeBox_800_tex.urdf,-0.01,-0.02,31.0,50.0
327,CoffeeBox_800_tex.urdf,0.0,-0.02,38.0,50.0
328,CoffeeBox_800_tex.urdf,0.01,-0.02,35.0,50.0
329,CoffeeBox_800_tex.urdf,0.02,-0.02,36.0,50.0
330,CoffeeBox_800_tex.urdf,-0.02,-0.01,37.0,50.0
331,CoffeeBox_800_tex.urdf,-0.01,-0.01,29.0,50.0
332,CoffeeBox_800_tex.urdf,0.0,-0.01,39.0,50.0
333,CoffeeBox_800_tex.urdf,0.01,-0.01,29.0,50.0
334,CoffeeBox_800_tex.urdf,0.02,-0.01,34.0,50.0
335,CoffeeBox_800_tex.urdf,-0.02,0.0,34.0,50.0
336,CoffeeBox_800_tex.urdf,-0.01,0.0,30.0,50.0
337,CoffeeBox_800_tex.urdf,0.0,0.0,32.0,50.0
338,CoffeeBox_800_tex.urdf,0.01,0.0,33.0,50.0
339,CoffeeBox_800_tex.urdf,0.02,0.0,35.0,50.0
340,CoffeeBox_800_tex.urdf,-0.02,0.01,43.0,50.0
341,CoffeeBox_800_tex.urdf,-0.01,0.01,33.0,50.0
342,CoffeeBox_800_tex.urdf,0.0,0.01,36.0,50.0
343,CoffeeBox_800_tex.urdf,0.01,0.01,32.0,50.0
344,CoffeeBox_800_tex.urdf,0.02,0.01,32.0,50.0
345,CoffeeBox_800_tex.urdf,-0.02,0.02,38.0,50.0
346,CoffeeBox_800_tex.urdf,-0.01,0.02,37.0,50.0
347,CoffeeBox_800_tex.urdf,0.0,0.02,32.0,50.0
348,CoffeeBox_800_tex.urdf,0.01,0.02,28.0,50.0
349,CoffeeBox_800_tex.urdf,0.02,0.02,33.0,50.0
350,CoffeeCookies_800_tex.urdf,-0.02,-0.02,49.0,50.0
351,CoffeeCookies_800_tex.urdf,-0.01,-0.02,50.0,50.0
352,CoffeeCookies_800_tex.urdf,0.0,-0.02,50.0,50.0
353,CoffeeCookies_800_tex.urdf,0.01,-0.02,50.0,50.0
354,CoffeeCookies_800_tex.urdf,0.02,-0.02,49.0,50.0
355,CoffeeCookies_800_tex.urdf,-0.02,-0.01,50.0,50.0
356,CoffeeCookies_800_tex.urdf,-0.01,-0.01,50.0,50.0
357,CoffeeCookies_800_tex.urdf,0.0,-0.01,50.0,50.0
358,CoffeeCookies_800_tex.urdf,0.01,-0.01,50.0,50.0
359,CoffeeCookies_800_tex.urdf,0.02,-0.01,50.0,50.0
360,CoffeeCookies_800_tex.urdf,-0.02,0.0,50.0,50.0
361,CoffeeCookies_800_tex.urdf,-0.01,0.0,49.0,50.0
362,CoffeeCookies_800_tex.urdf,0.0,0.0,50.0,50.0
363,CoffeeCookies_800_tex.urdf,0.01,0.0,50.0,50.0
364,CoffeeCookies_800_tex.urdf,0.02,0.0,50.0,50.0
365,CoffeeCookies_800_tex.urdf,-0.02,0.01,50.0,50.0
366,CoffeeCookies_800_tex.urdf,-0.01,0.01,50.0,50.0
367,CoffeeCookies_800_tex.urdf,0.0,0.01,50.0,50.0
368,CoffeeCookies_800_tex.urdf,0.01,0.01,50.0,50.0
